,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
155,6,167,6.5868,100,6.5868,FOFS,41
156,7,164,7.9268,100,7.9268,FOFS,41
157,8,165,9.0909,100,9.0909,FOFS,41
158,9,180,8.3333,100,8.3333,FOFS,41
159,10,162,7.4074,100,7.4074,FOFS,41
160,11,180,7.2222,100,7.2222,FOFS,41
161,12,152,10.5263,100,10.5263,FOFS,41
162,13,145,9.6552,100,9.6552,FOFS,41
163,14,164,7.3171,100,7.3171,FOFS,41
164,15,154,9.0909,100,9.0909,FOFS,41
165,16,168,7.7381,100,7.7381,FOFS,41
166,17,182,6.044,100,6.044,FOFS,41
167,18,180,7.7778,100,7.7778,FOFS,41
168,19,161,7.4534,100,7.4534,FOFS,41
169,20,204,5.3922,100,5.3922,FOFS,41
170,21,178,6.7416,100,6.7416,FOFS,41
171,22,159,7.5472,100,7.5472,FOFS,41
172,23,158,9.4937,100,9.4937,FOFS,41
173,24,185,7.5676,100,7.5676,FOFS,41
174,25,166,8.4337,100,8.4337,FOFS,41
175,26,182,6.5934,100,6.5934,FOFS,41
176,27,186,6.9892,100,6.9892,FOFS,41
177,28,174,6.8966,100,6.8966,FOFS,41
178,29,169,7.1006,100,7.1006,FOFS,41
179,30,165,8.4848,100,8.4848,FOFS,41
180,31,154,8.4416,100,8.4416,FOFS,41
181,32,160,8.125,100,8.125,FOFS,41
182,33,181,6.6298,100,6.6298,FOFS,41
183,34,144,9.7222,100,9.7222,FOFS,41
184,35,185,7.027,100,7.027,FOFS,41
185,36,173,8.6705,100,8.6705,FOFS,41
186,37,182,7.6923,100,7.6923,FOFS,41
187,38,185,7.027,100,7.027,FOFS,41
188,39,188,5.3191,100,5.3191,FOFS,41
189,40,156,7.6923,100,7.6923,FOFS,41
190,41,160,8.125,100,8.125,FOFS,41
191,42,156,8.3333,100,8.3333,FOFS,41
192,43,164,8.5366,100,8.5366,FOFS,41
193,44,170,6.4706,100,6.4706,FOFS,41
194,45,169,9.4675,100,9.4675,FOFS,41
195,46,133,9.0226,100,9.0226,FOFS,41
196,47,173,6.3584,100,6.3584,FOFS,41
197,48,163,6.7485,100,6.7485,FOFS,41
198,49,172,7.5581,100,7.5581,FOFS,41
199,50,179,7.2626,100,7.2626,FOFS,41
200,1,144,9.0278,100,9.0278,FOFS,42
201,2,155,9.0323,100,9.0323,FOFS,42
202,3,179,7.8212,100,7.8212,FOFS,42
203,4,179,8.3799,100,8.3799,FOFS,42
204,5,160,9.375,100,9.375,FOFS,42
205,6,167,6.5868,100,6.5868,FOFS,42
206,7,164,7.9268,100,7.9268,FOFS,42
207,8,165,9.0909,100,9.0909,FOFS,42
208,9,180,8.3333,100,8.3333,FOFS,42
209,10,162,7.4074,100,7.4074,FOFS,42
210,11,180,7.2222,100,7.2222,FOFS,42
211,12,152,10.5263,100,10.5263,FOFS,42
212,13,145,9.6552,100,9.6552,FOFS,42
213,14,164,7.3171,100,7.3171,FOFS,42
214,15,154,9.0909,100,9.0909,FOFS,42
215,16,168,7.7381,100,7.7381,FOFS,42
216,17,182,6.044,100,6.044,FOFS,42
217,18,180,7.7778,100,7.7778,FOFS,42
218,19,161,7.4534,100,7.4534,FOFS,42
219,20,204,5.3922,100,5.3922,FOFS,42
220,21,178,6.7416,100,6.7416,FOFS,42
221,22,159,7.5472,100,7.5472,FOFS,42
222,23,158,9.4937,100,9.4937,FOFS,42
223,24,185,7.5676,100,7.5676,FOFS,42
224,25,166,8.4337,100,8.4337,FOFS,42
225,26,182,6.5934,100,6.5934,FOFS,42
226,27,186,6.9892,100,6.9892,FOFS,42
227,28,174,6.8966,100,6.8966,FOFS,42
228,29,169,7.1006,100,7.1006,FOFS,42
229,30,165,8.4848,100,8.4848,FOFS,42
230,31,154,8.4416,100,8.4416,FOFS,42
231,32,160,8.125,100,8.125,FOFS,42
232,33,181,6.6298,100,6.6298,FOFS,42
233,34,144,9.7222,100,9.7222,FOFS,42
234,35,185,7.027,100,7.027,FOFS,42
235,36,173,8.6705,100,8.6705,FOFS,42
236,37,182,7.6923,100,7.6923,FOFS,42
237,38,185,7.027,100,7.027,FOFS,42
238,39,188,5.3191,100,5.3191,FOFS,42
239,40,156,7.6923,100,7.6923,FOFS,42
240,41,160,8.125,100,8.125,FOFS,42
241,42,156,8.3333,100,8.3333,FOFS,42
242,43,164,8.5366,100,8.5366,FOFS,42
243,44,170,6.4706,100,6.4706,FOFS,42
244,45,169,9.4675,100,9.4675,FOFS,42
245,46,133,9.0226,100,9.0226,FOFS,42
246,47,173,6.3584,100,6.3584,FOFS,42
247,48,163,6.7485,100,6.7485,FOFS,42
248,49,172,7.5581,100,7.5581,FOFS,42
249,50,179,7.2626,100,7.2626,FOFS,42
250,1,144,9.0278,100,9.0278,FOFS,44
251,2,155,9.0323,100,9.0323,FOFS,44
252,3,179,7.8212,100,7.8212,FOFS,44
253,4,179,8.3799,100,8.3799,FOFS,44
254,5,160,9.375,100,9.375,FOFS,44
255,6,167,6.5868,100,6.5868,FOFS,44
256,7,164,7.9268,100,7.9268,FOFS,44
257,8,165,9.0909,100,9.0909,FOFS,44
258,9,180,8.3333,100,8.3333,FOFS,44
259,10,162,7.4074,100,7.4074,FOFS,44
260,11,180,7.2222,100,7.2222,FOFS,44
261,12,152,10.5263,100,10.5263,FOFS,44
262,13,145,9.6552,100,9.6552,FOFS,44
263,14,164,7.3171,100,7.3171,FOFS,44
264,15,154,9.0909,100,9.0909,FOFS,44
265,16,168,7.7381,100,7.7381,FOFS,44
266,17,182,6.044,100,6.044,FOFS,44
267,18,180,7.7778,100,7.7778,FOFS,44
268,19,161,7.4534,100,7.4534,FOFS,44
269,20,204,5.3922,100,5.3922,FOFS,44
270,21,178,6.7416,100,6.7416,FOFS,44
271,22,159,7.5472,100,7.5472,FOFS,44
272,23,158,9.4937,100,9.4937,FOFS,44
273,24,185,7.5676,100,7.5676,FOFS,44
274,25,166,8.4337,100,8.4337,FOFS,44
275,26,182,6.5934,100,6.5934,FOFS,44
276,27,186,6.9892,100,6.9892,FOFS,44
277,28,174,6.8966,100,6.8966,FOFS,44
278,29,169,7.1006,100,7.1006,FOFS,44
279,30,165,8.4848,100,8.4848,FOFS,44
280,31,154,8.4416,100,8.4416,FOFS,44
281,32,160,8.125,100,8.125,FOFS,44
282,33,181,6.6298,100,6.6298,FOFS,44
283,34,144,9.7222,100,9.7222,FOFS,44
284,35,185,7.027,100,7.027,FOFS,44
285,36,173,8.6705,100,8.6705,FOFS,44
286,37,182,7.6923,100,7.6923,FOFS,44
287,38,185,7.027,100,7.027,FOFS,44
288,39,188,5.3191,100,5.3191,FOFS,44
289,40,156,7.6923,100,7.6923,FOFS,44
290,41,160,8.125,100,8.125,FOFS,44
291,42,156,8.3333,100,8.3333,FOFS,44
292,43,164,8.5366,100,8.5366,FOFS,44
293,44,170,6.4706,100,6.4706,FOFS,44
294,45,169,9.4675,100,9.4675,FOFS,44
295,46,133,9.0226,100,9.0226,FOFS,44
296,47,173,6.3584,100,6.3584,FOFS,44
297,48,163,6.7485,100,6.7485,FOFS,44
298,49,172,7.5581,100,7.5581,FOFS,44
