,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
129,30,165,8.4848,100.0,8.4848,FOFS,70
130,31,154,8.4416,100.0,8.4416,FOFS,70
131,32,160,8.125,100.0,8.125,FOFS,70
132,33,181,6.6298,100.0,6.6298,FOFS,70
133,34,144,9.7222,100.0,9.7222,FOFS,70
134,35,185,7.027,100.0,7.027,FOFS,70
135,36,173,8.6705,100.0,8.6705,FOFS,70
136,37,182,7.6923,100.0,7.6923,FOFS,70
137,38,185,7.027,100.0,7.027,FOFS,70
138,39,188,5.3191,100.0,5.3191,FOFS,70
139,40,156,7.6923,100.0,7.6923,FOFS,70
140,41,160,8.125,100.0,8.125,FOFS,70
141,42,156,8.3333,100.0,8.3333,FOFS,70
142,43,164,8.5366,100.0,8.5366,FOFS,70
143,44,170,6.4706,100.0,6.4706,FOFS,70
144,45,169,9.4675,100.0,9.4675,FOFS,70
145,46,133,9.0226,100.0,9.0226,FOFS,70
146,47,173,6.3584,100.0,6.3584,FOFS,70
147,48,163,6.7485,100.0,6.7485,FOFS,70
148,49,172,7.5581,100.0,7.5581,FOFS,70
149,50,179,7.2626,100.0,7.2626,FOFS,70
150,1,144,9.0278,100.0,9.0278,FOFS,72
151,2,155,9.0323,100.0,9.0323,FOFS,72
152,3,179,7.8212,100.0,7.8212,FOFS,72
153,4,179,8.3799,100.0,8.3799,FOFS,72
154,5,160,9.375,100.0,9.375,FOFS,72
155,6,167,6.5868,100.0,6.5868,FOFS,72
156,7,164,7.9268,100.0,7.9268,FOFS,72
157,8,165,9.0909,100.0,9.0909,FOFS,72
158,9,180,8.3333,100.0,8.3333,FOFS,72
159,10,162,7.4074,100.0,7.4074,FOFS,72
160,11,180,7.2222,100.0,7.2222,FOFS,72
161,12,152,10.5263,100.0,10.5263,FOFS,72
162,13,145,9.6552,100.0,9.6552,FOFS,72
163,14,164,7.3171,100.0,7.3171,FOFS,72
164,15,154,9.0909,100.0,9.0909,FOFS,72
165,16,168,7.7381,100.0,7.7381,FOFS,72
166,17,182,6.044,100.0,6.044,FOFS,72
167,18,180,7.7778,100.0,7.7778,FOFS,72
168,19,161,7.4534,100.0,7.4534,FOFS,72
169,20,204,5.3922,100.0,5.3922,FOFS,72
170,21,178,6.7416,100.0,6.7416,FOFS,72
171,22,159,7.5472,100.0,7.5472,FOFS,72
