,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
626,27,186,20.9677,41.0256,8.6022,EDDPred,82
627,28,174,23.5632,31.7073,7.4713,EDDPred,82
628,29,169,26.6272,33.3333,8.8757,EDDPred,82
629,30,165,20.6061,44.1176,9.0909,EDDPred,82
630,31,154,23.3766,41.6667,9.7403,EDDPred,82
631,32,160,25.0,32.5,8.125,EDDPred,82
632,33,181,18.7845,50.0,9.3923,EDDPred,82
633,34,144,25.6944,35.1351,9.0278,EDDPred,82
634,35,185,23.2432,27.907,6.4865,EDDPred,82
635,36,173,21.9653,42.1053,9.2486,EDDPred,82
636,37,182,22.5275,29.2683,6.5934,EDDPred,82
637,38,185,23.2432,30.2326,7.027,EDDPred,82
638,39,188,18.0851,50.0,9.0426,EDDPred,82
639,40,156,26.9231,30.9524,8.3333,EDDPred,82
640,41,160,21.875,40.0,8.75,EDDPred,82
641,42,156,24.359,36.8421,8.9744,EDDPred,82
642,43,164,25.0,29.2683,7.3171,EDDPred,82
643,44,170,24.7059,28.5714,7.0588,EDDPred,82
644,45,169,20.7101,40.0,8.284,EDDPred,82
645,46,133,29.3233,33.3333,9.7744,EDDPred,82
646,47,173,23.6994,36.5854,8.6705,EDDPred,82
647,48,163,22.6994,37.8378,8.589,EDDPred,82
648,49,172,19.186,39.3939,7.5581,EDDPred,82
649,50,179,22.3464,32.5,7.2626,EDDPred,82
650,1,144,20.8333,46.6667,9.7222,EDDPred,83
651,2,155,21.9355,50.0,10.9677,EDDPred,83
652,3,179,21.7877,33.3333,7.2626,EDDPred,83
653,4,179,18.4358,42.4242,7.8212,EDDPred,83
654,5,160,28.125,28.8889,8.125,EDDPred,83
655,6,167,20.9581,34.2857,7.1856,EDDPred,83
656,7,164,22.561,43.2432,9.7561,EDDPred,83
657,8,165,21.8182,33.3333,7.2727,EDDPred,83
658,9,180,18.3333,36.3636,6.6667,EDDPred,83
659,10,162,17.9012,51.7241,9.2593,EDDPred,83
660,11,180,18.8889,47.0588,8.8889,EDDPred,83
661,12,152,23.6842,36.1111,8.5526,EDDPred,83
662,13,145,24.1379,45.7143,11.0345,EDDPred,83
663,14,164,20.122,42.4242,8.5366,EDDPred,83
664,15,154,20.7792,43.75,9.0909,EDDPred,83
665,16,168,16.6667,53.5714,8.9286,EDDPred,83
666,17,182,23.0769,33.3333,7.6923,EDDPred,83
667,18,180,21.1111,36.8421,7.7778,EDDPred,83
668,19,161,21.118,44.1176,9.3168,EDDPred,83
669,20,204,18.1373,35.1351,6.3725,EDDPred,83
670,21,178,20.7865,43.2432,8.9888,EDDPred,83
671,22,159,20.1258,53.125,10.6918,EDDPred,83
672,23,158,22.7848,44.4444,10.1266,EDDPred,83
673,24,185,20.5405,42.1053,8.6486,EDDPred,83
674,25,166,21.0843,37.1429,7.8313,EDDPred,83
675,26,182,23.6264,32.5581,7.6923,EDDPred,83
676,27,186,20.4301,39.4737,8.0645,EDDPred,83
677,28,174,23.5632,31.7073,7.4713,EDDPred,83
678,29,169,26.6272,33.3333,8.8757,EDDPred,83
679,30,165,20.6061,44.1176,9.0909,EDDPred,83
680,31,154,23.3766,41.6667,9.7403,EDDPred,83
681,32,160,25.0,32.5,8.125,EDDPred,83
682,33,181,18.7845,50.0,9.3923,EDDPred,83
683,34,144,25.0,33.3333,8.3333,EDDPred,83
684,35,185,23.2432,27.907,6.4865,EDDPred,83
685,36,173,20.8092,44.4444,9.2486,EDDPred,83
686,37,182,21.4286,33.3333,7.1429,EDDPred,83
687,38,185,23.2432,30.2326,7.027,EDDPred,83
688,39,188,18.0851,50.0,9.0426,EDDPred,83
689,40,156,26.9231,30.9524,8.3333,EDDPred,83
690,41,160,21.875,40.0,8.75,EDDPred,83
691,42,156,24.359,36.8421,8.9744,EDDPred,83
692,43,164,25.0,29.2683,7.3171,EDDPred,83
693,44,170,24.7059,28.5714,7.0588,EDDPred,83
694,45,169,20.7101,40.0,8.284,EDDPred,83
695,46,133,29.3233,33.3333,9.7744,EDDPred,83
696,47,173,24.2775,35.7143,8.6705,EDDPred,83
697,48,163,22.6994,37.8378,8.589,EDDPred,83
698,49,172,19.186,39.3939,7.5581,EDDPred,83
699,50,179,21.2291,31.5789,6.7039,EDDPred,83
700,1,144,20.8333,46.6667,9.7222,EDDPred,84
701,2,155,21.2903,45.4545,9.6774,EDDPred,84
702,3,179,22.905,34.1463,7.8212,EDDPred,84
703,4,179,18.4358,42.4242,7.8212,EDDPred,84
704,5,160,28.125,28.8889,8.125,EDDPred,84
705,6,167,20.9581,34.2857,7.1856,EDDPred,84
706,7,164,22.561,43.2432,9.7561,EDDPred,84
707,8,165,21.8182,33.3333,7.2727,EDDPred,84
708,9,180,18.3333,36.3636,6.6667,EDDPred,84
709,10,162,17.9012,51.7241,9.2593,EDDPred,84
710,11,180,18.8889,47.0588,8.8889,EDDPred,84
711,12,152,23.6842,36.1111,8.5526,EDDPred,84
712,13,145,24.1379,45.7143,11.0345,EDDPred,84
713,14,164,20.122,42.4242,8.5366,EDDPred,84
714,15,154,20.7792,43.75,9.0909,EDDPred,84
715,16,168,20.8333,37.1429,7.7381,EDDPred,84
716,17,182,23.0769,33.3333,7.6923,EDDPred,84
717,18,180,21.6667,33.3333,7.2222,EDDPred,84
718,19,161,21.118,44.1176,9.3168,EDDPred,84
719,20,204,18.1373,35.1351,6.3725,EDDPred,84
720,21,178,19.6629,45.7143,8.9888,EDDPred,84
721,22,159,20.1258,53.125,10.6918,EDDPred,84
722,23,158,22.7848,47.2222,10.7595,EDDPred,84
723,24,185,21.0811,38.4615,8.1081,EDDPred,84
724,25,166,21.0843,37.1429,7.8313,EDDPred,84
725,26,182,23.6264,32.5581,7.6923,EDDPred,84
726,27,186,20.4301,42.1053,8.6022,EDDPred,84
727,28,174,22.9885,32.5,7.4713,EDDPred,84
728,29,169,26.6272,33.3333,8.8757,EDDPred,84
729,30,165,20.0,45.4545,9.0909,EDDPred,84
730,31,154,24.6753,39.4737,9.7403,EDDPred,84
731,32,160,25.0,32.5,8.125,EDDPred,84
732,33,181,18.7845,50.0,9.3923,EDDPred,84
733,34,144,25.0,33.3333,8.3333,EDDPred,84
734,35,185,23.2432,27.907,6.4865,EDDPred,84
735,36,173,19.6532,44.1176,8.6705,EDDPred,84
736,37,182,21.4286,33.3333,7.1429,EDDPred,84
737,38,185,23.2432,30.2326,7.027,EDDPred,84
738,39,188,18.0851,52.9412,9.5745,EDDPred,84
739,40,156,26.9231,30.9524,8.3333,EDDPred,84
740,41,160,21.875,42.8571,9.375,EDDPred,84
741,42,156,24.359,36.8421,8.9744,EDDPred,84
742,43,164,25.0,29.2683,7.3171,EDDPred,84
743,44,170,24.7059,28.5714,7.0588,EDDPred,84
744,45,169,20.1183,41.1765,8.284,EDDPred,84
745,46,133,29.3233,33.3333,9.7744,EDDPred,84
746,47,173,23.6994,36.5854,8.6705,EDDPred,84
747,48,163,22.6994,37.8378,8.589,EDDPred,84
748,49,172,19.186,39.3939,7.5581,EDDPred,84
749,50,179,23.4637,28.5714,6.7039,EDDPred,84
750,1,144,20.8333,46.6667,9.7222,EDDPred,85
751,2,155,21.2903,45.4545,9.6774,EDDPred,85
752,3,179,22.905,34.1463,7.8212,EDDPred,85
753,4,179,18.4358,42.4242,7.8212,EDDPred,85
754,5,160,28.125,28.8889,8.125,EDDPred,85
755,6,167,20.9581,34.2857,7.1856,EDDPred,85
756,7,164,22.561,43.2432,9.7561,EDDPred,85
757,8,165,21.8182,33.3333,7.2727,EDDPred,85
758,9,180,18.3333,36.3636,6.6667,EDDPred,85
759,10,162,17.9012,51.7241,9.2593,EDDPred,85
760,11,180,18.3333,48.4848,8.8889,EDDPred,85
761,12,152,23.6842,36.1111,8.5526,EDDPred,85
762,13,145,24.1379,45.7143,11.0345,EDDPred,85
763,14,164,20.122,42.4242,8.5366,EDDPred,85
764,15,154,20.7792,43.75,9.0909,EDDPred,85
765,16,168,20.8333,40.0,8.3333,EDDPred,85
766,17,182,23.0769,33.3333,7.6923,EDDPred,85
767,18,180,21.6667,33.3333,7.2222,EDDPred,85
768,19,161,21.118,44.1176,9.3168,EDDPred,85
769,20,204,18.1373,35.1351,6.3725,EDDPred,85
770,21,178,19.6629,45.7143,8.9888,EDDPred,85
771,22,159,20.1258,53.125,10.6918,EDDPred,85
772,23,158,22.7848,47.2222,10.7595,EDDPred,85
773,24,185,20.0,43.2432,8.6486,EDDPred,85
774,25,166,21.0843,37.1429,7.8313,EDDPred,85
775,26,182,23.6264,32.5581,7.6923,EDDPred,85
776,27,186,20.4301,42.1053,8.6022,EDDPred,85
777,28,174,22.9885,32.5,7.4713,EDDPred,85
778,29,169,26.6272,33.3333,8.8757,EDDPred,85
779,30,165,20.0,45.4545,9.0909,EDDPred,85
780,31,154,24.6753,39.4737,9.7403,EDDPred,85
781,32,160,25.0,32.5,8.125,EDDPred,85
782,33,181,18.7845,50.0,9.3923,EDDPred,85
783,34,144,25.0,33.3333,8.3333,EDDPred,85
784,35,185,23.2432,27.907,6.4865,EDDPred,85
785,36,173,19.0751,45.4545,8.6705,EDDPred,85
786,37,182,21.978,32.5,7.1429,EDDPred,85
787,38,185,23.7838,29.5455,7.027,EDDPred,85
788,39,188,15.9574,60.0,9.5745,EDDPred,85
789,40,156,26.9231,30.9524,8.3333,EDDPred,85
790,41,160,21.875,42.8571,9.375,EDDPred,85
791,42,156,24.359,36.8421,8.9744,EDDPred,85
792,43,164,25.0,29.2683,7.3171,EDDPred,85
793,44,170,24.7059,28.5714,7.0588,EDDPred,85
794,45,169,19.5266,42.4242,8.284,EDDPred,85
795,46,133,29.3233,33.3333,9.7744,EDDPred,85
796,47,173,20.8092,36.1111,7.5145,EDDPred,85
797,48,163,22.6994,37.8378,8.589,EDDPred,85
798,49,172,19.186,39.3939,7.5581,EDDPred,85
799,50,179,23.4637,28.5714,6.7039,EDDPred,85
