,req_index,order_time,desired_time,admit_outcome,predict_with_uncmtd,toa_current_inv,toa_future_exp_return,toa_uncmtd_cnt,toa_occupied_by_pred_same_period,toa_inv_ref,commit_outcome,realized_cycle_duration,fail_time,commit_time,finish_time,commit_item
50,50,51,60,-1,1,1,3,4,0,0,,,,,,
51,51,53,66,-1,1,1,3,4,0,0,,,,,,
52,52,53,59,1,1,1,3,3,0,1,-2.0,39.0,59.0,,,
53,53,56,68,-1,1,1,3,5,0,-1,,,,,,
54,54,56,72,-1,1,1,3,5,0,-1,,,,,,
55,55,57,66,-1,1,1,3,5,0,-1,,,,,,
56,56,58,70,-1,1,1,3,4,0,0,,,,,,
57,57,58,80,-1,1,1,3,4,0,0,,,,,,
58,58,58,78,-1,1,1,3,4,0,0,,,,,,
59,59,59,73,1,1,1,3,2,0,2,2.0,85.0,,72.0,72.0,1.0
60,60,60,76,1,1,1,3,1,0,3,-2.0,76.0,76.0,,,
61,61,60,75,1,1,1,3,1,0,3,-2.0,27.0,75.0,,,
62,62,61,75,1,1,2,2,1,0,3,-2.0,42.0,75.0,,,
63,63,62,79,-1,1,2,2,4,0,0,,,,,,
64,64,63,74,1,1,2,2,1,0,3,2.0,26.0,,73.0,73.0,2.0
65,65,64,81,-1,1,2,2,5,0,-1,,,,,,
66,66,67,76,-1,1,3,1,4,0,0,,,,,,
67,67,68,86,-1,1,3,1,5,0,-1,,,,,,
68,68,68,83,-1,1,3,1,5,0,-1,,,,,,
69,69,69,82,-1,1,3,1,5,0,-1,,,,,,
70,70,70,85,-1,1,3,1,5,0,-1,,,,,,
71,71,70,84,-1,1,3,1,5,0,-1,,,,,,
72,72,71,87,-1,1,3,1,5,0,-1,,,,,,
73,73,71,81,-1,1,3,1,5,0,-1,,,,,,
74,74,72,86,-1,1,3,1,5,0,-1,,,,,,
75,75,75,93,-1,1,1,2,3,0,0,,,,,,
76,76,77,96,1,1,1,2,0,0,3,-2.0,32.0,96.0,,,
77,77,79,90,1,1,1,2,0,0,3,-2.0,61.0,90.0,,,
78,78,81,93,1,1,1,2,1,0,2,-2.0,20.0,93.0,,,
79,79,83,101,-1,1,1,2,3,0,0,,,,,,
80,80,85,98,-1,1,1,2,3,0,0,,,,,,
81,81,86,95,1,1,1,2,2,0,1,-2.0,43.0,95.0,,,
82,82,87,103,-1,1,1,2,4,0,-1,,,,,,
83,83,87,100,-1,1,1,2,4,0,-1,,,,,,
84,84,88,104,-1,1,1,2,4,0,-1,,,,,,
85,85,88,102,-1,1,1,2,4,0,-1,,,,,,
86,86,89,103,-1,1,1,2,4,0,-1,,,,,,
87,87,90,103,-1,1,1,2,4,0,-1,,,,,,
88,88,90,102,-1,1,1,2,4,0,-1,,,,,,
89,89,90,108,-1,1,1,2,4,0,-1,,,,,,
90,90,91,106,-1,1,1,2,3,0,0,,,,,,
91,91,91,108,-1,1,1,2,3,0,0,,,,,,
92,92,91,109,-1,1,1,2,3,0,0,,,,,,
93,93,92,104,-1,1,1,2,3,0,0,,,,,,
94,94,92,111,1,1,1,3,3,0,1,-2.0,67.0,111.0,,,
95,95,92,110,-1,1,1,2,3,0,0,,,,,,
96,96,93,107,-1,1,1,2,3,0,0,,,,,,
97,97,94,108,1,1,1,2,2,0,1,-2.0,60.0,108.0,,,
98,98,94,104,1,1,1,2,2,0,1,2.0,64.0,,103.0,103.0,0.0
99,99,96,112,1,1,2,3,4,0,1,-2.0,34.0,112.0,,,
100,100,98,109,1,1,2,1,2,0,1,-2.0,136.0,109.0,,,
101,101,98,112,1,1,2,3,4,0,1,-2.0,80.0,112.0,,,
102,102,98,108,1,1,2,1,1,0,2,-2.0,27.0,108.0,,,
103,103,98,107,1,1,2,1,1,0,2,2.0,42.0,,106.0,106.0,2.0
104,104,98,113,-1,1,2,3,8,0,-3,,,,,,
105,105,99,113,-1,1,2,3,8,0,-3,,,,,,
106,106,101,116,-1,1,3,2,8,0,-3,,,,,,
107,107,102,119,-1,1,3,2,8,0,-3,,,,,,
108,108,102,123,-1,1,3,2,8,0,-3,,,,,,
109,109,102,112,-1,1,3,2,6,0,-1,,,,,,
110,110,103,118,-1,1,3,2,8,0,-3,,,,,,
111,111,104,119,-1,1,2,2,7,0,-3,,,,,,
112,112,105,120,-1,1,2,2,7,0,-3,,,,,,
113,113,107,121,-1,1,2,1,6,0,-3,,,,,,
114,114,110,124,-1,1,2,1,3,0,0,,,,,,
115,115,110,128,-1,1,2,1,3,0,0,,,,,,
116,116,110,124,-1,1,2,1,3,0,0,,,,,,
117,117,112,126,1,1,2,1,2,0,1,-2.0,50.0,126.0,,,
118,118,113,129,1,1,2,1,1,0,2,-2.0,62.0,129.0,,,
119,119,116,126,1,1,2,1,0,0,3,-2.0,25.0,126.0,,,
120,120,118,131,-1,1,2,1,3,0,0,,,,,,
121,121,118,128,1,1,2,1,2,0,1,-2.0,56.0,128.0,,,
122,122,118,128,-1,1,2,1,2,1,0,,,,,,
123,123,119,124,1,1,2,1,0,0,3,-2.0,51.0,124.0,,,
124,124,121,132,-1,1,2,1,5,0,-2,,,,,,
125,125,121,132,-1,1,2,1,5,0,-2,,,,,,
126,126,121,135,-1,1,2,1,5,0,-2,,,,,,
127,127,122,136,-1,1,2,1,5,0,-2,,,,,,
128,128,124,141,-1,1,2,1,5,0,-2,,,,,,
129,129,127,141,1,1,2,1,2,0,1,-2.0,69.0,141.0,,,
130,130,130,148,1,1,2,3,1,0,4,-2.0,22.0,148.0,,,
131,131,130,143,1,1,2,2,1,0,3,-2.0,23.0,143.0,,,
132,132,130,146,1,1,2,3,2,0,3,-2.0,55.0,146.0,,,
133,133,131,145,1,1,2,3,2,0,3,-2.0,34.0,145.0,,,
134,134,132,147,1,1,2,3,4,0,1,-2.0,29.0,147.0,,,
135,135,134,146,1,1,2,3,3,0,2,-2.0,16.0,146.0,,,
136,136,134,153,-1,1,2,3,7,0,-2,,,,,,
137,137,134,150,-1,1,2,3,7,0,-2,,,,,,
138,138,135,146,1,1,2,3,3,0,2,-2.0,35.0,146.0,,,
139,139,138,152,-1,1,2,3,8,0,-3,,,,,,
140,140,138,161,-1,1,2,3,8,0,-3,,,,,,
141,141,139,148,-1,1,2,3,7,0,-2,,,,,,
142,142,140,152,-1,1,2,3,8,0,-3,,,,,,
143,143,142,158,-1,1,2,3,7,0,-2,,,,,,
144,144,142,151,-1,1,2,3,7,0,-2,,,,,,
145,145,142,158,-1,1,2,3,7,0,-2,,,,,,
146,146,142,157,-1,1,2,3,7,0,-2,,,,,,
147,147,143,159,-1,1,2,3,7,0,-2,,,,,,
148,148,144,158,-1,1,2,3,6,0,-1,,,,,,
149,149,146,165,-1,1,2,3,5,0,0,,,,,,
150,150,147,160,1,1,2,3,2,0,3,2.0,65.0,,159.0,159.0,1.0
151,151,148,163,1,1,2,3,2,0,3,-2.0,78.0,163.0,,,
152,152,148,157,1,1,2,3,1,0,4,2.0,50.0,,156.0,156.0,2.0
153,153,150,164,1,1,3,2,3,0,2,-2.0,31.0,164.0,,,
154,154,150,163,1,1,3,2,2,0,3,-2.0,52.0,163.0,,,
155,155,150,171,-1,1,3,2,5,0,0,,,,,,
156,156,150,169,-1,1,3,2,5,0,0,,,,,,
157,157,151,161,1,1,3,2,2,0,3,-2.0,36.0,161.0,,,
158,158,153,162,1,1,3,2,3,0,2,-2.0,47.0,162.0,,,
159,159,154,164,-1,1,3,2,6,0,-1,,,,,,
160,160,154,165,-1,1,3,2,7,0,-2,,,,,,
161,161,154,170,-1,1,3,2,7,0,-2,,,,,,
162,162,155,169,-1,1,3,2,7,0,-2,,,,,,
163,163,155,169,-1,1,3,2,7,0,-2,,,,,,
164,164,157,171,-1,1,2,2,6,0,-2,,,,,,
165,165,157,164,-1,1,2,2,5,0,-1,,,,,,
166,166,157,170,-1,1,2,2,6,0,-2,,,,,,
167,168,161,178,-1,1,2,1,5,0,-2,,,,,,
168,169,161,176,-1,1,2,1,5,0,-2,,,,,,
169,170,161,172,-1,1,2,1,5,0,-2,,,,,,
170,171,162,181,-1,1,2,1,4,0,-1,,,,,,
171,172,164,177,1,1,2,1,1,0,2,-2.0,33.0,177.0,,,
172,173,165,180,1,1,2,1,1,0,2,-2.0,27.0,180.0,,,
173,174,165,176,1,1,2,1,0,0,3,-2.0,53.0,176.0,,,
174,175,168,180,1,1,3,0,2,0,1,-2.0,25.0,180.0,,,
175,176,168,181,-1,1,3,0,4,0,-1,,,,,,
176,177,168,181,-1,1,3,0,4,0,-1,,,,,,
177,178,169,177,1,1,3,0,1,0,2,-2.0,39.0,177.0,,,
178,180,170,181,-1,1,3,0,5,0,-2,,,,,,
