,rseed,num_req,adm_rate,succ_order_rate,service_rate
EDD-2-IT0-current,12,136,41.1765,17.8571,7.3529
EDD-3-IT0-current,12,136,39.7059,18.5185,7.3529
EDD-4-IT0-current,12,136,49.2647,16.4179,8.0882
EDD-5-IT0-current,12,136,47.0588,17.1875,8.0882
EDD-6-IT0-current,12,136,46.3235,17.4603,8.0882
FOFS-ITInf-current,12,136,100.0,8.0882,8.0882
EDD-1-ITInf-current,12,136,100.0,8.0882,8.0882
EDD-2-ITInf-current,12,136,100.0,8.0882,8.0882
EDD-3-ITInf-current,12,136,100.0,8.0882,8.0882
EDD-4-ITInf-current,12,136,100.0,8.0882,8.0882
EDD-5-ITInf-current,12,136,100.0,8.0882,8.0882
EDD-6-ITInf-current,12,136,100.0,8.0882,8.0882
FOFS-IT0-future,12,136,83.0882,9.7345,8.0882
EDD-1-IT0-future,12,136,77.2059,11.4286,8.8235
EDD-2-IT0-future,12,136,77.2059,11.4286,8.8235
EDD-3-IT0-future,12,136,76.4706,11.5385,8.8235
EDD-4-IT0-future,12,136,76.4706,11.5385,8.8235
EDD-5-IT0-future,12,136,76.4706,11.5385,8.8235
EDD-6-IT0-future,12,136,77.2059,12.381,9.5588
FOFS-ITInf-future,12,136,100.0,8.0882,8.0882
EDD-1-ITInf-future,12,136,100.0,8.0882,8.0882
EDD-2-ITInf-future,12,136,100.0,8.0882,8.0882
EDD-3-ITInf-future,12,136,100.0,8.0882,8.0882
EDD-4-ITInf-future,12,136,100.0,8.0882,8.0882
EDD-5-ITInf-future,12,136,100.0,8.0882,8.0882
EDD-6-ITInf-future,12,136,100.0,8.0882,8.0882
FOFS-IT0-future_cstp,12,136,19.1176,42.3077,8.0882
EDD-1-IT0-future_cstp,12,136,14.7059,60.0,8.8235
EDD-2-IT0-future_cstp,12,136,14.7059,60.0,8.8235
EDD-3-IT0-future_cstp,12,136,14.7059,60.0,8.8235
EDD-4-IT0-future_cstp,12,136,15.4412,57.1429,8.8235
EDD-5-IT0-future_cstp,12,136,15.4412,57.1429,8.8235
EDD-6-IT0-future_cstp,12,136,18.3824,52.0,9.5588
FOFS-ITInf-future_cstp,12,136,100.0,8.0882,8.0882
EDD-1-ITInf-future_cstp,12,136,100.0,8.0882,8.0882
EDD-2-ITInf-future_cstp,12,136,100.0,8.0882,8.0882
EDD-3-ITInf-future_cstp,12,136,100.0,8.0882,8.0882
EDD-4-ITInf-future_cstp,12,136,100.0,8.0882,8.0882
EDD-5-ITInf-future_cstp,12,136,100.0,8.0882,8.0882
EDD-6-ITInf-future_cstp,12,136,100.0,8.0882,8.0882
FOFS-IT0-current,13,132,9.0909,100.0,9.0909
EDD-1-IT0-current,13,132,50.7576,17.9104,9.0909
EDD-2-IT0-current,13,132,50.0,18.1818,9.0909
EDD-3-IT0-current,13,132,50.0,18.1818,9.0909
EDD-4-IT0-current,13,132,48.4848,18.75,9.0909
EDD-5-IT0-current,13,132,46.2121,19.6721,9.0909
EDD-6-IT0-current,13,132,43.9394,20.6897,9.0909
FOFS-ITInf-current,13,132,100.0,10.6061,10.6061
EDD-1-ITInf-current,13,132,100.0,11.3636,11.3636
EDD-2-ITInf-current,13,132,100.0,11.3636,11.3636
EDD-3-ITInf-current,13,132,100.0,11.3636,11.3636
EDD-4-ITInf-current,13,132,100.0,11.3636,11.3636
EDD-5-ITInf-current,13,132,100.0,11.3636,11.3636
EDD-6-ITInf-current,13,132,100.0,11.3636,11.3636
FOFS-IT0-future,13,132,80.303,12.2642,9.8485
EDD-1-IT0-future,13,132,87.1212,10.4348,9.0909
EDD-2-IT0-future,13,132,87.1212,10.4348,9.0909
EDD-3-IT0-future,13,132,87.8788,10.3448,9.0909
EDD-4-IT0-future,13,132,87.8788,10.3448,9.0909
EDD-5-IT0-future,13,132,86.3636,10.5263,9.0909
EDD-6-IT0-future,13,132,85.6061,10.6195,9.0909
FOFS-ITInf-future,13,132,100.0,10.6061,10.6061
EDD-1-ITInf-future,13,132,100.0,11.3636,11.3636
EDD-2-ITInf-future,13,132,100.0,11.3636,11.3636
EDD-3-ITInf-future,13,132,100.0,11.3636,11.3636
EDD-4-ITInf-future,13,132,100.0,11.3636,11.3636
EDD-5-ITInf-future,13,132,100.0,11.3636,11.3636
EDD-6-ITInf-future,13,132,100.0,11.3636,11.3636
FOFS-IT0-future_cstp,13,132,18.9394,52.0,9.8485
EDD-1-IT0-future_cstp,13,132,20.4545,48.1481,9.8485
EDD-2-IT0-future_cstp,13,132,20.4545,48.1481,9.8485
EDD-3-IT0-future_cstp,13,132,19.697,50.0,9.8485
EDD-4-IT0-future_cstp,13,132,19.697,50.0,9.8485
EDD-5-IT0-future_cstp,13,132,19.697,50.0,9.8485
EDD-6-IT0-future_cstp,13,132,21.9697,41.3793,9.0909
FOFS-ITInf-future_cstp,13,132,100.0,10.6061,10.6061
EDD-1-ITInf-future_cstp,13,132,100.0,11.3636,11.3636
EDD-2-ITInf-future_cstp,13,132,100.0,11.3636,11.3636
EDD-3-ITInf-future_cstp,13,132,100.0,11.3636,11.3636
EDD-4-ITInf-future_cstp,13,132,100.0,11.3636,11.3636
EDD-5-ITInf-future_cstp,13,132,100.0,11.3636,11.3636
EDD-6-ITInf-future_cstp,13,132,100.0,11.3636,11.3636
FOFS-IT0-current,14,147,7.483,100.0,7.483
EDD-1-IT0-current,14,147,41.4966,24.5902,10.2041
EDD-2-IT0-current,14,147,40.1361,25.4237,10.2041
EDD-3-IT0-current,14,147,39.4558,25.8621,10.2041
EDD-4-IT0-current,14,147,46.2585,20.5882,9.5238
EDD-5-IT0-current,14,147,43.5374,21.875,9.5238
EDD-6-IT0-current,14,147,41.4966,21.3115,8.8435
FOFS-ITInf-current,14,147,100.0,10.2041,10.2041
EDD-1-ITInf-current,14,147,100.0,10.2041,10.2041
EDD-2-ITInf-current,14,147,100.0,10.2041,10.2041
EDD-3-ITInf-current,14,147,100.0,10.2041,10.2041
EDD-4-ITInf-current,14,147,100.0,10.2041,10.2041
EDD-5-ITInf-current,14,147,100.0,10.2041,10.2041
EDD-6-ITInf-current,14,147,100.0,10.2041,10.2041
FOFS-IT0-future,14,147,77.551,12.2807,9.5238
EDD-1-IT0-future,14,147,80.2721,12.7119,10.2041
EDD-2-IT0-future,14,147,78.9116,14.6552,11.5646
EDD-3-IT0-future,14,147,78.2313,14.7826,11.5646
EDD-4-IT0-future,14,147,78.9116,14.6552,11.5646
EDD-5-IT0-future,14,147,77.551,14.9123,11.5646
EDD-6-IT0-future,14,147,74.8299,14.5455,10.8844
FOFS-ITInf-future,14,147,100.0,10.2041,10.2041
EDD-1-ITInf-future,14,147,100.0,10.2041,10.2041
EDD-2-ITInf-future,14,147,100.0,10.2041,10.2041
EDD-3-ITInf-future,14,147,100.0,10.2041,10.2041
EDD-4-ITInf-future,14,147,100.0,10.2041,10.2041
EDD-5-ITInf-future,14,147,100.0,10.2041,10.2041
EDD-6-ITInf-future,14,147,100.0,10.2041,10.2041
FOFS-IT0-future_cstp,14,147,17.0068,48.0,8.1633
EDD-1-IT0-future_cstp,14,147,14.966,63.6364,9.5238
EDD-2-IT0-future_cstp,14,147,14.966,63.6364,9.5238
EDD-3-IT0-future_cstp,14,147,15.6463,65.2174,10.2041
