,rseed,num_req,adm_rate,succ_order_rate,service_rate
EDD-3-IT0-future,11,180,92.7778,11.976,11.1111
EDD-4-IT0-future,11,180,92.2222,12.0482,11.1111
EDD-5-IT0-future,11,180,92.2222,12.0482,11.1111
EDD-6-IT0-future,11,180,90.5556,12.2699,11.1111
FOFS-ITInf-future,11,180,100.0,8.8889,8.8889
EDD-1-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-2-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-3-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-4-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-5-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-6-ITInf-future,11,180,100.0,9.4444,9.4444
FOFS-IT0-future_cstp,11,180,29.4444,24.5283,7.2222
EDD-1-IT0-future_cstp,11,180,28.8889,30.7692,8.8889
EDD-2-IT0-future_cstp,11,180,28.8889,30.7692,8.8889
EDD-3-IT0-future_cstp,11,180,28.8889,32.6923,9.4444
EDD-4-IT0-future_cstp,11,180,28.8889,32.6923,9.4444
EDD-5-IT0-future_cstp,11,180,28.8889,32.6923,9.4444
EDD-6-IT0-future_cstp,11,180,28.8889,32.6923,9.4444
FOFS-ITInf-future_cstp,11,180,100.0,8.8889,8.8889
EDD-1-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-2-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-3-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-4-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-5-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-6-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
FOFS-IT0-current,12,152,10.5263,100.0,10.5263
EDD-1-IT0-current,12,152,40.1316,24.5902,9.8684
EDD-2-IT0-current,12,152,38.1579,25.8621,9.8684
EDD-3-IT0-current,12,152,36.8421,28.5714,10.5263
EDD-4-IT0-current,12,152,25.6579,35.8974,9.2105
EDD-5-IT0-current,12,152,24.3421,37.8378,9.2105
EDD-6-IT0-current,12,152,24.3421,40.5405,9.8684
FOFS-ITInf-current,12,152,100.0,12.5,12.5
EDD-1-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-2-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-3-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-4-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-5-ITInf-current,12,152,100.0,10.5263,10.5263
EDD-6-ITInf-current,12,152,100.0,10.5263,10.5263
FOFS-IT0-future,12,152,85.5263,10.7692,9.2105
EDD-1-IT0-future,12,152,91.4474,10.7914,9.8684
EDD-2-IT0-future,12,152,91.4474,10.7914,9.8684
EDD-3-IT0-future,12,152,91.4474,12.2302,11.1842
EDD-4-IT0-future,12,152,90.7895,10.8696,9.8684
EDD-5-IT0-future,12,152,89.4737,11.0294,9.8684
EDD-6-IT0-future,12,152,88.8158,11.1111,9.8684
FOFS-ITInf-future,12,152,100.0,12.5,12.5
EDD-1-ITInf-future,12,152,100.0,10.5263,10.5263
